4
10
96 42 11 82 77 47 96 55 0 65 
5 97 40 34 55 53 80 1 93 17 
0 3 63 43 9 65 99 80 10 29 
49 69 33 77 58 49 10 8 63 42 
11 90 22 2 36 1 17 19 46 77 
90 15 30 78 78 17 80 0 29 38 
85 3 62 5 18 65 60 64 8 36 
15 76 13 1 83 60 31 27 85 6 
66 67 55 21 74 2 62 41 11 22 
86 20 45 15 80 89 44 29 87 15 

11 8 99 53 44 58 9 52 25 88 
88 8 85 84 39 86 20 75 96 30 
7 27 70 22 47 5 91 20 50 1 
7 43 86 47 51 78 22 75 86 88 
64 21 59 36 98 3 29 85 18 1 
14 80 37 28 10 61 15 34 76 36 
60 85 39 8 3 30 45 5 23 10 
54 59 5 96 17 61 24 71 16 24 
45 92 22 24 35 30 5 11 87 97 
91 86 4 83 92 96 19 27 38 38 

38 14 61 59 84 57 14 96 4 94 
91 86 83 3 18 46 61 52 90 72 
19 54 25 55 34 30 44 40 31 0 
37 9 59 21 77 27 27 82 36 85 
92 0 33 16 87 69 15 75 44 27 
94 71 88 77 95 99 82 28 95 83 
12 59 35 53 83 1 87 50 30 4 
93 17 59 43 41 38 83 33 84 50 
19 96 28 85 25 35 50 46 1 16 
21 48 56 27 19 59 32 48 1 70 

28 0 14 91 89 10 14 18 43 62 
74 53 28 19 40 59 52 50 59 82 
49 62 7 38 30 18 26 15 77 36 
81 37 8 99 81 19 31 98 17 93 
42 56 35 75 10 30 12 76 7 91 
62 70 47 35 10 64 40 24 95 88 
16 1 89 52 58 36 9 17 80 72 
33 98 12 1 26 66 11 74 49 49 
73 79 97 90 1 23 55 8 95 28 
55 20 65 72 25 74 11 85 50 89 

95 86 85 70 60 7 96 35 26 81 
32 55 9 4 68 15 10 66 52 29 
39 80 19 1 26 50 90 55 97 15 
57 81 36 16 88 53 37 14 53 54 
50 90 13 92 9 81 90 38 62 67 
3 29 58 97 11 94 8 2 34 84 
6 14 32 75 59 96 67 55 20 40 
55 46 24 89 99 6 43 53 76 21 
24 50 46 69 61 2 96 84 1 83 
98 57 61 68 91 25 10 11 36 79 

93 65 82 62 22 87 86 66 54 89 
28 65 93 51 60 78 64 96 93 33 
8 40 64 46 98 68 53 69 14 79 
51 81 52 13 39 65 18 46 16 5 
31 93 63 34 35 5 22 54 15 72 
18 54 46 71 96 81 6 15 41 47 
14 15 42 14 42 64 27 49 22 41 
1 49 49 29 65 18 33 71 56 85 
76 10 71 81 33 15 97 46 80 40 
3 28 92 64 36 50 2 68 73 70 

72 92 53 19 65 30 17 9 9 14 
26 58 78 5 27 57 64 72 92 50 
50 82 42 34 69 49 13 28 37 94 
61 16 5 43 32 10 30 54 85 76 
37 54 36 94 17 90 92 56 98 98 
98 13 1 1 8 97 59 99 86 73 
34 86 73 79 94 2 37 21 87 81 
56 44 82 64 89 76 53 53 8 50 
13 47 24 45 95 10 9 19 98 64 
73 62 6 56 51 69 16 18 89 4 

43 40 21 48 47 58 56 50 39 28 
69 58 19 78 44 45 0 44 48 40 
56 67 70 26 80 3 56 87 42 88 
51 26 22 73 14 18 16 82 7 0 
14 88 69 2 92 49 27 95 49 24 
85 33 79 40 27 77 95 17 41 27 
62 77 4 43 44 69 61 31 22 31 
15 44 74 27 84 2 84 40 56 46 
2 30 23 7 89 47 99 20 4 93 
6 87 31 83 14 87 49 31 36 70 

29 34 9 6 54 6 51 3 25 69 
71 56 30 45 31 96 33 93 85 59 
2 51 12 87 96 77 69 41 26 70 
2 21 96 29 65 24 6 25 34 8 
73 51 23 94 30 10 30 19 98 12 
41 84 64 70 26 34 67 42 81 44 
52 96 39 61 68 53 61 60 51 29 
12 29 0 23 60 44 74 47 8 55 
85 41 50 25 36 30 69 80 84 50 
71 9 87 11 17 75 26 50 21 29 

33 58 72 71 42 52 19 62 19 5 
43 91 0 50 72 31 92 7 80 72 
3 39 38 33 79 98 75 44 35 2 
27 65 75 35 55 29 35 85 21 83 
14 75 75 69 66 21 5 64 63 87 
62 28 88 72 89 14 41 44 60 30 
85 24 42 26 92 75 33 53 21 35 
36 65 90 97 76 81 83 8 47 30 
