2
10
96 42 11 82 77 47 96 55 0 65 
5 97 40 34 55 53 80 1 93 17 
0 3 63 43 9 65 99 80 10 29 
49 69 33 77 58 49 10 8 63 42 
11 90 22 2 36 1 17 19 46 77 
90 15 30 78 78 17 80 0 29 38 
85 3 62 5 18 65 60 64 8 36 
15 76 13 1 83 60 31 27 85 6 
66 67 55 21 74 2 62 41 11 22 
86 20 45 15 80 89 44 29 87 15 

44 49 93 21 13 81 47 94 98 97 
38 62 47 37 83 52 47 43 35 70 
16 97 10 16 8 66 62 39 14 17 
34 81 23 26 94 59 52 26 51 24 
7 10 70 84 31 85 23 50 96 4 
26 52 75 93 72 90 7 54 54 65 
39 54 22 8 34 60 32 90 43 86 
53 47 29 42 39 21 63 45 32 55 
71 78 31 63 9 42 30 27 95 47 
82 17 47 82 21 98 56 99 2 14 
